,ts_code,symbol,name,area,industry,fullname,market,list_date,delist_date
2646,600128.SH,600128,弘业股份,江苏,商贸代理,江苏弘业股份有限公司,主板,19970901,
2647,600129.SH,600129,太极集团,重庆,中成药,重庆太极实业(集团)股份有限公司,主板,19971118,
2648,600130.SH,600130,波导股份,浙江,通信设备,宁波波导股份有限公司,主板,20000706,
2649,600131.SH,600131,国网信通,四川,通信设备,国网信息通信股份有限公司,主板,19980402,
2650,600132.SH,600132,重庆啤酒,重庆,啤酒,重庆啤酒股份有限公司,主板,19971030,
2651,600133.SH,600133,东湖高新,湖北,园区开发,武汉东湖高新集团股份有限公司,主板,19980212,
2652,600135.SH,600135,乐凯胶片,河北,化工原料,乐凯胶片股份有限公司,主板,19980122,
2653,600136.SH,600136,当代文体,湖北,影视音像,武汉当代明诚文化体育集团股份有限公司,主板,19980303,
2654,600137.SH,600137,浪莎股份,四川,服饰,四川浪莎控股股份有限公司,主板,19980416,
2655,600138.SH,600138,中青旅,北京,旅游服务,中青旅控股股份有限公司,主板,19971203,
2656,600139.SH,600139,ST西源,四川,综合类,四川西部资源控股股份有限公司,主板,19980225,
2657,600141.SH,600141,兴发集团,湖北,化工原料,湖北兴发化工集团股份有限公司,主板,19990616,
2658,600143.SH,600143,金发科技,广东,塑料,金发科技股份有限公司,主板,20040623,
2659,600145.SH,600145,*ST新亿,新疆,房产服务,新疆亿路万源实业控股股份有限公司,主板,19990923,
2660,600146.SH,600146,*ST环球,宁夏,服饰,商赢环球股份有限公司,主板,19990707,
2661,600148.SH,600148,长春一东,吉林,汽车配件,长春一东离合器股份有限公司,主板,19980520,
2662,600149.SH,600149,廊坊发展,河北,综合类,廊坊发展股份有限公司,主板,19991014,
2663,600150.SH,600150,中国船舶,上海,船舶,中国船舶工业股份有限公司,主板,19980520,
2664,600151.SH,600151,航天机电,上海,汽车配件,上海航天汽车机电股份有限公司,主板,19980605,
2665,600152.SH,600152,维科技术,浙江,电气设备,维科技术股份有限公司,主板,19980609,
2666,600153.SH,600153,建发股份,福建,商贸代理,厦门建发股份有限公司,主板,19980616,
2667,600155.SH,600155,华创阳安,北京,证券,华创阳安股份有限公司,主板,19980918,
2668,600156.SH,600156,华升股份,湖南,纺织,湖南华升股份有限公司,主板,19980527,
2669,600157.SH,600157,永泰能源,山西,火力发电,永泰能源股份有限公司,主板,19980513,
2670,600158.SH,600158,中体产业,天津,文教休闲,中体产业集团股份有限公司,主板,19980327,
2671,600159.SH,600159,大龙地产,北京,区域地产,北京市大龙伟业房地产开发股份有限公司,主板,19980526,
2672,600160.SH,600160,巨化股份,浙江,化工原料,浙江巨化股份有限公司,主板,19980626,
2673,600161.SH,600161,天坛生物,北京,生物制药,北京天坛生物制品股份有限公司,主板,19980616,
2674,600162.SH,600162,香江控股,深圳,全国地产,深圳香江控股股份有限公司,主板,19980609,
2675,600163.SH,600163,中闽能源,福建,新型电力,中闽能源股份有限公司,主板,19980602,
2676,600165.SH,600165,新日恒力,宁夏,化工原料,宁夏新日恒力钢丝绳股份有限公司,主板,19980529,
2677,600166.SH,600166,福田汽车,北京,汽车整车,北汽福田汽车股份有限公司,主板,19980602,
2678,600167.SH,600167,联美控股,辽宁,供气供热,联美量子股份有限公司,主板,19990128,
